name;id;nametype;recclass;mass;fall;year;reclat;reclong;geometry/type;geometry/coordinates/0;geometry/coordinates/1;:@computed_region_cbhk_fwbd;:@computed_region_nnqa_25f4
Adhi Kot;379;Valid;EH4;4239;Fell;1919-01-01T00:00:00.000;32.100000;71.800000;Point;71.8;32.1;;
Sakauchi;23103;Valid;Iron;4180;Fell;1913-01-01T00:00:00.000;35.666670;136.300000;Point;136.3;35.66667;;
Gashua;44882;Valid;L6;4162;Fell;1984-01-01T00:00:00.000;12.850000;11.033330;Point;11.03333;12.85;;
Sioux County;23614;Valid;Eucrite-mmict;4100;Fell;1933-01-01T00:00:00.000;42.583330;-103.666670;Point;-103.66667;42.58333;19;2351
Kuznetzovo;12385;Valid;L6;4047;Fell;1932-01-01T00:00:00.000;55.200000;75.333330;Point;75.33333;55.2;;
Bialystok;5042;Valid;Eucrite-pmict;4000;Fell;1827-01-01T00:00:00.000;53.100000;23.200000;Point;23.2;53.1;;
Çanakkale;5250;Valid;L6;4000;Fell;1964-01-01T00:00:00.000;39.800000;26.600000;Point;26.6;39.8;;
Chassigny;5331;Valid;Martian (chassignite);4000;Fell;1815-01-01T00:00:00.000;47.716670;5.366670;Point;5.36667;47.71667;;
Chitenay;5357;Valid;L6;4000;Fell;1978-01-01T00:00:00.000;47.470830;0.976670;Point;0.97667;47.47083;;
Futtehpur;10839;Valid;L6;4000;Fell;1822-01-01T00:00:00.000;25.950000;80.816670;Point;80.81667;25.95;;
Krasnyi Klyuch;12357;Valid;H5;4000;Fell;1946-01-01T00:00:00.000;54.333330;56.083330;Point;56.08333;54.33333;;
Lichtenberg;14646;Valid;H6;4000;Fell;1973-01-01T00:00:00.000;-26.150000;26.183330;Point;26.18333;-26.15;;
Mazapil;15453;Valid;Iron, IAB-sLL;4000;Fell;1885-01-01T00:00:00.000;24.683330;-101.683330;Point;-101.68333;24.68333;;
Mern;15489;Valid;L6;4000;Fell;1878-01-01T00:00:00.000;55.050000;12.066670;Point;12.06667;55.05;;
Nogoya;16989;Valid;CM2;4000;Fell;1879-01-01T00:00:00.000;-32.366670;-59.833330;Point;-59.83333;-32.36667;;
Santa Lucia (2008);50909;Valid;L6;4000;Fell;2008-01-01T00:00:00.000;-31.535556;-68.489444;Point;-68.489444;-31.535556;;
Sauguis;23188;Valid;L6;4000;Fell;1868-01-01T00:00:00.000;43.150000;-0.850000;Point;-0.85;43.15;;
Sena;23495;Valid;H4;4000;Fell;1773-01-01T00:00:00.000;41.716670;-0.050000;Point;-0.05;41.71667;;
Shalka;23521;Valid;Diogenite;4000;Fell;1850-01-01T00:00:00.000;23.100000;87.300000;Point;87.3;23.1;;
St. Germain-du-Pinel;23087;Valid;H6;4000;Fell;1890-01-01T00:00:00.000;48.016670;-1.150000;Point;-1.15;48.01667;;
Nikolaevka;16976;Valid;H4;3996;Fell;1935-01-01T00:00:00.000;52.450000;78.633330;Point;78.63333;52.45;;
Ichkala;11995;Valid;H6;3973;Fell;1936-01-01T00:00:00.000;58.200000;82.933330;Point;82.93333;58.2;;
Almahata Sitta;48915;Valid;Ureilite-an;3950;Fell;2008-01-01T00:00:00.000;20.745750;32.412750;Point;32.41275;20.74575;;
Djermaia;7656;Valid;H;3950;Fell;1961-01-01T00:00:00.000;12.733330;15.050000;Point;15.05;12.73333;;
Chisenga;5355;Valid;Iron, IIIAB;3920;Fell;1988-01-01T00:00:00.000;-10.059440;33.395000;Point;33.395;-10.05944;;
Shuangyang;23582;Valid;H5;3900;Fell;1971-01-01T00:00:00.000;43.500000;125.666670;Point;125.66667;43.5;;
Doroninsk;7718;Valid;H5-7;3891;Fell;1805-01-01T00:00:00.000;51.200000;112.300000;Point;112.3;51.2;;
Benoni;5023;Valid;H6;3880;Fell;1943-01-01T00:00:00.000;-26.166670;28.416670;Point;28.41667;-26.16667;;
Padvarninkai;18069;Valid;Eucrite-mmict;3858;Fell;1929-01-01T00:00:00.000;55.666670;25.000000;Point;25;55.66667;;
Taonan;23873;Valid;L5;3850;Fell;1965-01-01T00:00:00.000;45.400000;122.900000;Point;122.9;45.4;;
Dokachi;7658;Valid;H5;3840;Fell;1903-01-01T00:00:00.000;23.500000;90.333330;Point;90.33333;23.5;;
Laborel;12408;Valid;H5;3833;Fell;1871-01-01T00:00:00.000;44.283330;5.583330;Point;5.58333;44.28333;;
Ramnagar;22384;Valid;L6;3766;Fell;1940-01-01T00:00:00.000;26.450000;82.900000;Point;82.9;26.45;;
Moss;36592;Valid;CO3.6;3763;Fell;2006-01-01T00:00:00.000;59.433330;10.700000;Point;10.7;59.43333;;
Pitts;18837;Valid;Iron, IAB-ung;3760;Fell;1921-01-01T00:00:00.000;31.950000;-83.516670;Point;-83.51667;31.95;31;207
Ofehértó;17990;Valid;L6;3750;Fell;1900-01-01T00:00:00.000;47.883330;22.033330;Point;22.03333;47.88333;;
Kulp;12373;Valid;H6;3719;Fell;1906-01-01T00:00:00.000;41.116670;45.000000;Point;45;41.11667;;
Hamlet;11485;Valid;LL4;3710;Fell;1959-01-01T00:00:00.000;41.383330;-86.600000;Point;-86.6;41.38333;35;1205
Bald Mountain;4925;Valid;L4;3700;Fell;1929-01-01T00:00:00.000;35.966670;-82.483330;Point;-82.48333;35.96667;37;2373
Benares (a);5011;Valid;LL4;3700;Fell;1798-01-01T00:00:00.000;25.366670;82.916670;Point;82.91667;25.36667;;
Chadong;5313;Valid;L6;3700;Fell;1998-01-01T00:00:00.000;28.533330;109.316670;Point;109.31667;28.53333;;
Siena;23586;Valid;LL5;3700;Fell;1794-01-01T00:00:00.000;43.116670;11.600000;Point;11.6;43.11667;;
Khanpur;12289;Valid;LL5;3698;Fell;1932-01-01T00:00:00.000;25.550000;83.116670;Point;83.11667;25.55;;
Jesenice;51589;Valid;L6;3667;Fell;2009-01-01T00:00:00.000;46.421370;14.052170;Point;14.05217;46.42137;;
Cronstad;5474;Valid;H5;3650;Fell;1877-01-01T00:00:00.000;-27.700000;27.300000;Point;27.3;-27.7;;
Florence;10111;Valid;H3;3640;Fell;1922-01-01T00:00:00.000;30.833330;-97.766670;Point;-97.76667;30.83333;23;807
Gorlovka;10949;Valid;H3.7;3618;Fell;1974-01-01T00:00:00.000;48.283330;38.083330;Point;38.08333;48.28333;;
Boumdeid (2011);57167;Valid;L6;3599;Fell;2011-01-01T00:00:00.000;17.174930;-11.341330;Point;-11.34133;17.17493;;
Mifflin;52090;Valid;L5;3584;Fell;2010-01-01T00:00:00.000;42.907500;-90.365560;Point;-90.36556;42.9075;41;2996
Manych;15409;Valid;LL3.4;3555;Fell;1951-01-01T00:00:00.000;45.816670;44.633330;Point;44.63333;45.81667;;
Mooresfort;16737;Valid;H5;3520;Fell;1810-01-01T00:00:00.000;52.450000;-8.333330;Point;-8.33333;52.45;;
Grosnaja;11206;Valid;CV3;3500;Fell;1861-01-01T00:00:00.000;43.666670;45.383330;Point;45.38333;43.66667;;
Hedeskoga;11869;Valid;H5;3500;Fell;1922-01-01T00:00:00.000;55.466670;13.783330;Point;13.78333;55.46667;;
Kaptal-Aryk;12253;Valid;L6;3500;Fell;1937-01-01T00:00:00.000;42.450000;73.366670;Point;73.36667;42.45;;
Lucé;14724;Valid;L6;3500;Fell;1768-01-01T00:00:00.000;47.850000;0.483330;Point;0.48333;47.85;;
Rowton;22773;Valid;Iron, IIIAB;3500;Fell;1876-01-01T00:00:00.000;52.766670;-2.516670;Point;-2.51667;52.76667;;
Success;23736;Valid;L6;3500;Fell;1924-01-01T00:00:00.000;36.483330;-90.666670;Point;-90.66667;36.48333;15;955
Idutywa;12000;Valid;H5;3457;Fell;1956-01-01T00:00:00.000;-32.100000;28.333330;Point;28.33333;-32.1;;
Orvinio;18034;Valid;H6;3400;Fell;1872-01-01T00:00:00.000;42.133330;12.933330;Point;12.93333;42.13333;;
Pacula;18068;Valid;L6;3400;Fell;1881-01-01T00:00:00.000;21.050000;-99.300000;Point;-99.3;21.05;;
Didim;47350;Valid;H3-5;3396;Fell;2007-01-01T00:00:00.000;37.351720;27.329970;Point;27.32997;37.35172;;
Pesyanoe;18799;Valid;Aubrite;3393;Fell;1933-01-01T00:00:00.000;55.500000;66.083330;Point;66.08333;55.5;;
Ekeby;7776;Valid;H4;3336;Fell;1939-01-01T00:00:00.000;56.033330;13.000000;Point;13;56.03333;;
Rewari;22593;Valid;L6;3332;Fell;1929-01-01T00:00:00.000;28.200000;76.666670;Point;76.66667;28.2;;
Kediri;12270;Valid;L4;3300;Fell;1940-01-01T00:00:00.000;-7.750000;112.016670;Point;112.01667;-7.75;;
Klein-Wenden;12332;Valid;H6;3250;Fell;1843-01-01T00:00:00.000;51.600000;10.800000;Point;10.8;51.6;;
Dwaleni;7755;Valid;H4-6;3230;Fell;1970-01-01T00:00:00.000;-27.200000;31.316670;Point;31.31667;-27.2;;
Aleppo;462;Valid;L6;3200;Fell;1873-01-01T00:00:00.000;36.233330;37.133330;Point;37.13333;36.23333;;
Andover;2295;Valid;L6;3200;Fell;1898-01-01T00:00:00.000;44.616670;-70.750000;Point;-70.75;44.61667;49;1723
Apt;2320;Valid;L6;3200;Fell;1803-01-01T00:00:00.000;43.866670;5.383330;Point;5.38333;43.86667;;
Barea;4946;Valid;Mesosiderite-A1;3200;Fell;1842-01-01T00:00:00.000;42.383330;-2.500000;Point;-2.5;42.38333;;
Felix;10081;Valid;CO3.3;3200;Fell;1900-01-01T00:00:00.000;32.533330;-87.166670;Point;-87.16667;32.53333;29;1631
Khor Temiki;12299;Valid;Aubrite;3200;Fell;1932-01-01T00:00:00.000;16.000000;36.000000;Point;36;16;;
Maridi;15421;Valid;H6;3200;Fell;1941-01-01T00:00:00.000;4.666670;29.250000;Point;29.25;4.66667;;
Shytal;23584;Valid;L6;3200;Fell;1863-01-01T00:00:00.000;24.333330;90.166670;Point;90.16667;24.33333;;
Monte Milone;16726;Valid;L5;3130;Fell;1846-01-01T00:00:00.000;43.266670;13.350000;Point;13.35;43.26667;;
Isthilart;12053;Valid;H5;3050;Fell;1928-01-01T00:00:00.000;-31.183330;-57.950000;Point;-57.95;-31.18333;;
Akwanga;432;Valid;H;3000;Fell;1959-01-01T00:00:00.000;8.916670;8.433330;Point;8.43333;8.91667;;
Eichstädt;7775;Valid;H5;3000;Fell;1785-01-01T00:00:00.000;48.900000;11.216670;Point;11.21667;48.9;;
Inner Mongolia;12037;Valid;L6;3000;Fell;1963-01-01T00:00:00.000;41.000000;112.000000;Point;112;41;;
Kaba;12218;Valid;CV3;3000;Fell;1857-01-01T00:00:00.000;47.350000;21.300000;Point;21.3;47.35;;
Karakol;12256;Valid;LL6;3000;Fell;1840-01-01T00:00:00.000;47.216670;81.016670;Point;81.01667;47.21667;;
Le Pressoir;12748;Valid;H5;3000;Fell;1845-01-01T00:00:00.000;47.166670;0.433330;Point;0.43333;47.16667;;
Marmande;15429;Valid;L5;3000;Fell;1848-01-01T00:00:00.000;44.500000;0.150000;Point;0.15;44.5;;
Pohlitz;18853;Valid;L5;3000;Fell;1819-01-01T00:00:00.000;50.933330;12.133330;Point;12.13333;50.93333;;
Tillaberi;23999;Valid;L6;3000;Fell;1970-01-01T00:00:00.000;14.250000;1.533330;Point;1.53333;14.25;;
Pavel;18173;Valid;H5;2968;Fell;1966-01-01T00:00:00.000;43.466670;25.516670;Point;25.51667;43.46667;;
Karloowala;12263;Valid;L6;2950;Fell;1955-01-01T00:00:00.000;31.583330;71.600000;Point;71.6;31.58333;;
Chaves;5334;Valid;Howardite;2945;Fell;1925-01-01T00:00:00.000;41.933330;-7.466670;Point;-7.46667;41.93333;;
Chela;5338;Valid;H4;2936;Fell;1988-01-01T00:00:00.000;-3.666670;32.500000;Point;32.5;-3.66667;;
Guangmingshan;11435;Valid;H5;2910;Fell;1996-01-01T00:00:00.000;39.804170;122.763890;Point;122.76389;39.80417;;
Battle Mountain;56133;Valid;L6;2900;Fell;2012-01-01T00:00:00.000;40.668130;-117.189130;Point;-117.18913;40.66813;10;2397
Rodach;22642;Valid;Stone-uncl;2900;Fell;1775-01-01T00:00:00.000;50.350000;10.800000;Point;10.8;50.35;;
Benton;5026;Valid;LL6;2840;Fell;1949-01-01T00:00:00.000;45.950000;-67.550000;Point;-67.55;45.95;;
Aztec;4913;Valid;L6;2830;Fell;1938-01-01T00:00:00.000;36.800000;-108.000000;Point;-108;36.8;11;1989
La Bécasse;12392;Valid;L6;2800;Fell;1879-01-01T00:00:00.000;47.083330;1.750000;Point;1.75;47.08333;;
Kamalpur;12238;Valid;L6;2770;Fell;1942-01-01T00:00:00.000;26.033330;81.466670;Point;81.46667;26.03333;;
Slobodka;23645;Valid;L4;2750;Fell;1818-01-01T00:00:00.000;55.000000;35.000000;Point;35;55;;
Andhara;2294;Valid;Stone-uncl;2700;Fell;1880-01-01T00:00:00.000;26.583330;85.566670;Point;85.56667;26.58333;;
Naragh;16909;Valid;H6;2700;Fell;1974-01-01T00:00:00.000;33.750000;51.500000;Point;51.5;33.75;;
Qingzhen;18908;Valid;EH3;2600;Fell;1976-01-01T00:00:00.000;26.533330;106.466670;Point;106.46667;26.53333;;
Monahans (1998);16719;Valid;H5;2587;Fell;1998-01-01T00:00:00.000;31.608330;-102.858330;Point;-102.85833;31.60833;23;2957
Lunan;14754;Valid;H6;2520;Fell;1980-01-01T00:00:00.000;24.800000;103.300000;Point;103.3;24.8;;
Anlong;2305;Valid;H5;2500;Fell;1971-01-01T00:00:00.000;25.150000;105.183330;Point;105.18333;25.15;;
Bholghati;5041;Valid;Howardite;2500;Fell;1905-01-01T00:00:00.000;22.083330;86.900000;Point;86.9;22.08333;;
Fuyang;10840;Valid;Stone-uncl;2500;Fell;1977-01-01T00:00:00.000;32.900000;115.900000;Point;115.9;32.9;;
Ibitira;11993;Valid;Eucrite-mmict;2500;Fell;1957-01-01T00:00:00.000;-20.000000;-45.000000;Point;-45;-20;;
Marilia;15422;Valid;H4;2500;Fell;1971-01-01T00:00:00.000;-22.250000;-49.933330;Point;-49.93333;-22.25;;
Savtschenskoje;23190;Valid;LL4;2500;Fell;1894-01-01T00:00:00.000;47.216670;29.866670;Point;29.86667;47.21667;;
Tathlith;23885;Valid;L6;2500;Fell;1967-01-01T00:00:00.000;19.383330;43.733330;Point;43.73333;19.38333;;
Samelia;23115;Valid;Iron, IIIAB;2462;Fell;1921-01-01T00:00:00.000;25.666670;74.866670;Point;74.86667;25.66667;;
Nejo;16941;Valid;L6;2450;Fell;1970-01-01T00:00:00.000;9.500000;35.333330;Point;35.33333;9.5;;
Gujargaon;11448;Valid;H5;2449;Fell;1982-01-01T00:00:00.000;22.983330;76.050000;Point;76.05;22.98333;;
Krasnoi-Ugol;12355;Valid;L6;2440;Fell;1829-01-01T00:00:00.000;54.033330;40.900000;Point;40.9;54.03333;;
Honolulu;11904;Valid;L5;2420;Fell;1825-01-01T00:00:00.000;21.300000;-157.866670;Point;-157.86667;21.3;4;1657
Messina;15495;Valid;L5;2405;Fell;1955-01-01T00:00:00.000;38.183330;15.566670;Point;15.56667;38.18333;;
Calivo;5200;Valid;Stone-uncl;2400;Fell;1916-01-01T00:00:00.000;11.750000;122.333330;Point;122.33333;11.75;;
Ehole;7774;Valid;H5;2400;Fell;1961-01-01T00:00:00.000;-17.300000;15.833330;Point;15.83333;-17.3;;
Blackwell;5068;Valid;L5;2381;Fell;1906-01-01T00:00:00.000;36.833330;-97.333330;Point;-97.33333;36.83333;20;2164
Fayetteville;10079;Valid;H4;2360;Fell;1934-01-01T00:00:00.000;36.050000;-94.166670;Point;-94.16667;36.05;15;70
Cape Girardeau;5260;Valid;H6;2300;Fell;1846-01-01T00:00:00.000;37.266670;-89.583330;Point;-89.58333;37.26667;18;2695
Långhalsen;12461;Valid;L6;2300;Fell;1947-01-01T00:00:00.000;58.850000;16.733330;Point;16.73333;58.85;;
Nobleborough;16984;Valid;Eucrite-pmict;2300;Fell;1823-01-01T00:00:00.000;44.083330;-69.483330;Point;-69.48333;44.08333;49;1683
Dundrum;7745;Valid;H5;2270;Fell;1865-01-01T00:00:00.000;52.550000;-8.033330;Point;-8.03333;52.55;;
Bulls Run;5163;Valid;Iron?;2250;Fell;1964-01-01T00:00:00.000;;;;;;;
Erxleben;10049;Valid;H6;2250;Fell;1812-01-01T00:00:00.000;52.216670;11.250000;Point;11.25;52.21667;;
Kukschin;12368;Valid;L6;2250;Fell;1938-01-01T00:00:00.000;51.150000;31.700000;Point;31.7;51.15;;
Tianzhang;23984;Valid;H5;2232;Fell;1986-01-01T00:00:00.000;32.946670;118.990000;Point;118.99;32.94667;;
Karatu;12258;Valid;LL6;2220;Fell;1963-01-01T00:00:00.000;-3.500000;35.583330;Point;35.58333;-3.5;;
Pantar;18098;Valid;H5;2130;Fell;1938-01-01T00:00:00.000;8.066670;124.283330;Point;124.28333;8.06667;;
Prambachkirchen;18883;Valid;L6;2125;Fell;1932-01-01T00:00:00.000;48.302500;13.940830;Point;13.94083;48.3025;;
Patrimonio;18116;Valid;L6;2121;Fell;1950-01-01T00:00:00.000;-19.533330;-48.566670;Point;-48.56667;-19.53333;;
Duwun;7754;Valid;L6;2117;Fell;1943-01-01T00:00:00.000;33.433330;127.266670;Point;127.26667;33.43333;;
Plantersville;18846;Valid;H6;2085;Fell;1930-01-01T00:00:00.000;30.700000;-96.116670;Point;-96.11667;30.7;23;2018
Soroti;23671;Valid;Iron, ungrouped;2050;Fell;1945-01-01T00:00:00.000;1.700000;33.633330;Point;33.63333;1.7;;
Itapicuru-Mirim;12056;Valid;H5;2024;Fell;1879-01-01T00:00:00.000;-3.400000;-44.333330;Point;-44.33333;-3.4;;
Albareto;453;Valid;L/LL4;2000;Fell;1766-01-01T00:00:00.000;44.650000;11.016670;Point;11.01667;44.65;;
Assisi;2353;Valid;H5;2000;Fell;1886-01-01T00:00:00.000;43.033330;12.550000;Point;12.55;43.03333;;
Aumieres;4900;Valid;L6;2000;Fell;1842-01-01T00:00:00.000;44.333330;3.233330;Point;3.23333;44.33333;;
Beuste;5034;Valid;L5;2000;Fell;1859-01-01T00:00:00.000;43.216670;-0.233330;Point;-0.23333;43.21667;;
Danville;5514;Valid;L6;2000;Fell;1868-01-01T00:00:00.000;34.400000;-87.066670;Point;-87.06667;34.4;29;103
Ibbenbüren;11992;Valid;Diogenite;2000;Fell;1870-01-01T00:00:00.000;52.283330;7.700000;Point;7.7;52.28333;;
Kaidun;12228;Valid;CR2;2000;Fell;1980-01-01T00:00:00.000;15.000000;48.300000;Point;48.3;15;;
La Colina;12395;Valid;H5;2000;Fell;1924-01-01T00:00:00.000;-37.333330;-61.533330;Point;-61.53333;-37.33333;;
Lesves;12772;Valid;L6;2000;Fell;1896-01-01T00:00:00.000;50.366670;4.733330;Point;4.73333;50.36667;;
Malakal;15394;Valid;L5;2000;Fell;1970-01-01T00:00:00.000;9.500000;31.750000;Point;31.75;9.5;;
Parambu;18102;Valid;LL5;2000;Fell;1967-01-01T00:00:00.000;-6.233330;-40.700000;Point;-40.7;-6.23333;;
Pavlovka;18177;Valid;Howardite;2000;Fell;1882-01-01T00:00:00.000;52.033330;43.000000;Point;43;52.03333;;
Sinnai;23613;Valid;H6;2000;Fell;1956-01-01T00:00:00.000;39.300000;9.200000;Point;9.2;39.3;;
Macibini;15372;Valid;Eucrite-pmict;1995;Fell;1936-01-01T00:00:00.000;-28.833330;31.950000;Point;31.95;-28.83333;;
Jalandhar;12069;Valid;Iron;1967;Fell;1621-01-01T00:00:00.000;31.000000;75.000000;Point;75;31;;
Guêa;11440;Valid;Stone-uncl;1915;Fell;1891-01-01T00:00:00.000;43.766670;20.233330;Point;20.23333;43.76667;;
Acapulco;10;Valid;Acapulcoite;1914;Fell;1976-01-01T00:00:00.000;16.883330;-99.900000;Point;-99.9;16.88333;;
Bielokrynitschie;5043;Valid;H4;1900;Fell;1887-01-01T00:00:00.000;50.133330;27.166670;Point;27.16667;50.13333;;
Dubrovnik;7736;Valid;L3-6;1900;Fell;1951-01-01T00:00:00.000;42.458330;18.441670;Point;18.44167;42.45833;;
Guangrao;11437;Valid;L6;1900;Fell;1980-01-01T00:00:00.000;37.100000;118.400000;Point;118.4;37.1;;
Kagarlyk;12227;Valid;L6;1900;Fell;1908-01-01T00:00:00.000;49.866670;30.833330;Point;30.83333;49.86667;;
Novo-Urei;17933;Valid;Ureilite;1900;Fell;1886-01-01T00:00:00.000;54.816670;46.000000;Point;46;54.81667;;
Richland Springs;22602;Valid;OC;1900;Fell;1980-01-01T00:00:00.000;31.250000;-99.033330;Point;-99.03333;31.25;23;2885
Moore County;16736;Valid;Eucrite-cm;1880;Fell;1913-01-01T00:00:00.000;35.416670;-79.383330;Point;-79.38333;35.41667;37;2431
Linum;14655;Valid;L6;1862;Fell;1854-01-01T00:00:00.000;52.750000;12.900000;Point;12.9;52.75;;
Bjelaja Zerkov;5063;Valid;H6;1850;Fell;1796-01-01T00:00:00.000;49.783330;30.166670;Point;30.16667;49.78333;;
